id,expected,final_verdict,pipeline_status,match,notes
CVE-2024-56337,ABSTAIN,REVISE,llm_ok,False,"The critical title is insufficient for a confident decision because EPSS is 0.09028 and affected context, KEV, and exposure evidence are absent."
CVE-2024-52316,REVISE,REVISE,llm_ok,True,"Exception non interceptée classée CRITICAL mais sans CVSS ni contexte. Confirmer le titre et la sévérité auprès de l’éditeur, puis l’impact et la configuration affectée. EPSS fourni de 0.06246 et KEV=0 ne prouvent pas un faible risque."
CVE-2023-20860,REVISE,REVISE,llm_ok,True,"Contrôle d’accès incorrect classé CRITICAL. Vérifier la version, les règles d’autorisation et les routes atteignables par un utilisateur non autorisé. Escalader si le contournement est applicable à un actif sensible."
CVE-2023-20873,REVISE,REVISE,llm_ok,True,"Le titre décrit un contournement lié aux motifs génériques sur Cloud Foundry. Confirmer l’usage de cette plateforme, la version et les règles concernées. La sévérité seule ne démontre pas l’applicabilité."
CVE-2026-22733,REVISE,REVISE,llm_ok,True,"Contournement d’authentification classé CRITICAL, avec EPSS fourni de 0.0036. Obtenir l’avis éditeur, le produit/version installé et le chemin alternatif concerné. Escalader si le contournement est applicable."
CVE-2025-66614,REVISE,REVISE,llm_ok,True,"Validation de certificat incorrecte classée CRITICAL. Vérifier l’avis éditeur, la version et les connexions concernées, puis les possibilités d’interception. Le faible EPSS fourni ne valide pas la sécurité des échanges."
SOC-IMAGEPKG-37059ea8ca1f,REVISE,REVISE,llm_ok,True,"Le titre CPU requests=limits décrit une configuration sans démontrer une vulnérabilité CRITICAL. Demander la règle, les valeurs et l’impact observé. Revoir la sévérité avant de maintenir une escalade."
GHSA-2p5w-cvg5-gc5c,ABSTAIN,ABSTAIN,llm_ok,True,"SQL-injection wording alone is insufficient because EPSS is 0 and CVSS, affected-version, and exposure evidence are absent."
GHSA-wm9w-rjj3-j356,ABSTAIN,ABSTAIN,pending_review,True,"The Tomcat DoS title has EPSS 0 and no CVSS, KEV, affected-version, or exposure evidence."
GHSA-m6vm-37g8-gqvh,ABSTAIN,ABSTAIN,llm_ok,True,"The takeover claim is high impact, but EPSS is 0 and the supplied fields lack CVSS, affected-version, and exposure evidence."
GHSA-h3gc-qfqq-6h8f,ABSTAIN,ABSTAIN,llm_ok,True,"The multipart DoS title has no EPSS, KEV, CVSS, or exposure evidence sufficient for a confident verdict."
GHSA-vmq6-5m68-f53m,ABSTAIN,ABSTAIN,llm_ok,True,"The serialization title has EPSS 0 and no CVSS, affected-version, or exposure evidence, so verification is required."
GHSA-vmq6-5m68-f53m#953bc1,ABSTAIN,ABSTAIN,llm_ok,True,Même avis logback que GHSA-vmq6-5m68-f53m avec suffixe d’instance. Conserver la ligne et vérifier les actifs avant dédoublonnage. Version et contexte de sérialisation manquent.
GHSA-57j2-w4cx-62h2,ABSTAIN,ABSTAIN,llm_ok,True,"Le titre évoque du JSON profondément imbriqué dans jackson-databind. Version, entrée non fiable et limites de profondeur ne sont pas fournies. Demander ces preuves avant de déterminer l’applicabilité."
GHSA-hh26-6xwr-ggv7,ABSTAIN,ABSTAIN,llm_ok,True,"DoS Spring Framework indiqué sans version, module ni mécanisme précis. Obtenir le détail de l’avis, sa correspondance CVE et les points d’entrée applicatifs concernés."
GHSA-6gf2-pvqw-37ph,ABSTAIN,ABSTAIN,llm_ok,True,"Injection dans les journaux Spring indiquée sans version ni exemple de donnée journalisée. Vérifier les entrées non fiables, leur neutralisation et les consommateurs des logs. EPSS=0 ne permet pas de conclure."
